,MP,W,D,L,GF,GA
Montenegro,115,39,31,45,137,152
Montserrat,40,9,4,27,41,140
Morocco,537,248,159,130,754,452
Mozambique,305,99,76,130,323,392
Myanmar,16,5,2,9,16,35
Namibia,230,61,62,107,233,333
Nepal,180,38,30,112,147,432
Netherlands,793,402,180,211,1629,977
New Caledonia,227,120,27,80,614,322
New Zealand,362,146,65,151,619,570
Nicaragua,157,27,15,115,137,444
Niger,207,49,52,106,193,345
Nigeria,578,267,167,144,857,581
Niue,2,0,0,2,0,33
North Korea,340,144,91,105,541,379
North Macedonia,243,71,63,109,279,328
North Vietnam,24,7,3,14,49,52
Northern Cyprus,34,20,7,7,98,31
Northern Ireland,650,165,149,336,678,1229
Northern Mariana Islands,24,2,2,20,18,107
Norway,811,296,185,330,1222,1343
Occitania,18,8,3,7,33,26
Oman,450,167,112,171,583,565
Orkney,21,5,0,16,23,72
Padania,43,29,8,6,118,33
Pakistan,190,38,34,118,178,448
Palau,2,0,0,2,4,21
Palestine,186,50,52,84,256,278
Panama,432,134,106,192,494,674
Panjab,12,5,3,4,31,16
Papua New Guinea,116,35,21,60,280,242
Paraguay,720,256,191,273,948,1037
Parishes of Jersey,3,2,0,1,11,4
Peru,627,201,153,273,771,900
Philippines,232,65,39,128,275,506
Poland,823,355,207,261,1384,1105
Portugal,621,301,146,174,1051,715
Provence,17,4,1,12,38,51
Puerto Rico,117,22,20,75,119,272
Qatar,537,222,127,188,771,632
Raetia,8,1,1,6,4,36
Republic of Ireland,573,220,164,189,780,703
Republic of St. Pauli,4,1,1,2,10,5
Rhodes,18,11,2,5,29,19
Romani people,3,1,0,2,7,8
Romania,701,308,181,212,1148,899
Russia,702,358,185,159,1209,682
Rwanda,244,82,62,100,263,295
Réunion,81,27,13,41,135,191
Saare County,35,5,5,25,41,89
Saarland,9,1,2,6,10,26
Saint Helena,4,0,0,4,4,24
Saint Kitts and Nevis,179,71,34,74,311,278
Saint Lucia,199,66,30,103,286,381
Saint Martin,44,14,3,27,51,127
Saint Pierre and Miquelon,7,0,0,7,2,78
Saint Vincent and the Grenadines,146,64,39,43,246,196
Samoa,51,16,4,31,71,169
San Marino,169,1,6,162,24,720
Sark,4,0,0,4,0,70
Saudi Arabia,625,299,141,185,991,666
Scotland,787,374,167,246,1357,969
Senegal,530,233,142,155,691,509
Serbia,281,125,72,84,431,302
Seychelles,113,13,18,82,76,245
Shetland,51,18,7,26,85,102
Sierra Leone,255,78,62,115,242,347
Silesia,8,3,2,3,24,17
Singapore,556,168,108,280,731,1028
Sint Maarten,34,10,5,19,44,92
Slovakia,297,120,69,108,429,378
Slovenia,255,90,63,102,313,306
Solomon Islands,170,72,30,68,383,347
Somalia,107,10,12,85,56,297
Somaliland,5,2,0,3,12,18
South Africa,402,175,115,112,534,402
South Korea,864,455,222,187,1516,781
South Ossetia,14,4,3,7,30,30
South Sudan,44,8,9,27,32,81
Spain,702,409,162,131,1414,630
Sri Lanka,201,40,35,126,200,491
Sudan,400,133,101,166,451,538
Suriname,348,153,81,114,673,500
Sweden,1027,503,225,299,2025,1321
Switzerland,805,281,176,348,1175,1351
Syria,406,151,101,154,589,531
Székely Land,23,6,3,14,42,51
Sápmi,26,11,2,13,84,49
São Tomé and Príncipe,46,8,5,33,36,111
Tahiti,210,109,28,73,564,350
Tajikistan,146,57,26,63,223,216
Tamil Eelam,17,6,0,11,35,50
Tanzania,532,146,154,232,599,805
Thailand,639,237,148,254,981,1003
Tibet,13,0,1,12,6,55
Timor-Leste,9,1,1,7,11,35
Togo,387,119,101,167,418,527
Tonga,56,14,6,36,67,207
Trinidad and Tobago,665,290,138,237,1136,869
Tunisia,583,244,169,170,836,618
Turkey,575,221,142,212,766,802
Turkmenistan,138,52,23,63,214,206
Turks and Caicos Islands,27,6,2,19,24,108
Tuvalu,34,5,4,25,35,197
U.S. Virgin Islands,54,7,6,41,29,239
Uganda,624,266,168,190,965,728
Ukraine,275,125,75,75,382,278
United Arab Emirates,524,210,129,185,739,659
United Koreans in Japan,11,2,6,3,11,11
United States,687,296,145,246,1006,914
Uruguay,888,384,216,288,1398,1118
Uzbekistan,279,121,58,100,456,332
Vanuatu,174,56,22,96,341,387
Vatican City,6,0,2,4,2,15
Venezuela,385,93,86,206,391,747
Vietnam,202,82,47,73,339,293
Vietnam Republic,153,66,27,60,281,265
Wales,664,213,143,308,829,1084
Wallis Islands and Futuna,24,5,0,19,23,109
Western Armenia,16,5,4,7,34,20
Western Isles,28,11,3,14,44,70
Western Sahara,5,2,0,3,11,16
Yemen,226,45,43,138,215,513
Yemen DPR,24,5,3,16,25,68
Ynys Môn,61,32,11,18,112,89
Yorkshire,7,5,1,1,27,11
Yugoslavia,481,223,98,160,940,740
Zambia,721,330,190,201,1125,740
Zanzibar,205,41,41,123,187,434
Zimbabwe,457,189,126,142,625,519
Åland Islands,46,21,6,19,73,75
Asturias,1,1,0,0,3,1
Congo DR,2,0,1,1,1,4
Surrey,1,1,0,0,3,1
Two Sicilies,4,1,0,3,2,8
Western Australia,29,9,3,17,55,69
