,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Abkhazia,Abkhazia,28,12,12,4,48,24,24,42.857142857142854,48.0,1.7142857142857142
Afghanistan,Afghanistan,67,26,15,26,87,92,-5,38.80597014925373,93.0,1.3880597014925373
Albania,Albania,96,35,19,42,98,111,-13,36.45833333333333,124.0,1.2916666666666667
Alderney,Alderney,15,2,0,13,12,62,-50,13.333333333333334,6.0,0.4
Algeria,Algeria,112,57,21,34,183,118,65,50.89285714285714,192.0,1.7142857142857142
American Samoa,American Samoa,17,4,2,11,18,68,-50,23.52941176470588,14.0,0.8235294117647058
Andalusia,Andalusia,1,1,0,0,2,1,1,100.0,3.0,3.0
Andorra,Andorra,76,3,11,62,15,169,-154,3.9473684210526314,20.0,0.2631578947368421
Angola,Angola,113,35,43,35,110,109,1,30.973451327433626,148.0,1.3097345132743363
Anguilla,Anguilla,26,1,3,22,12,101,-89,3.8461538461538463,6.0,0.23076923076923078
Antigua and Barbuda,Antigua and Barbuda,57,21,9,27,84,93,-9,36.84210526315789,72.0,1.263157894736842
Arameans Suryoye,Arameans Suryoye,5,3,1,1,9,6,3,60.0,10.0,2.0
Argentina,Argentina,135,78,34,23,255,123,132,57.77777777777777,268.0,1.9851851851851852
Armenia,Armenia,85,27,13,45,125,151,-26,31.76470588235294,94.0,1.1058823529411765
Artsakh,Artsakh,11,6,2,3,32,14,18,54.54545454545454,20.0,1.8181818181818181
Aruba,Aruba,34,8,7,19,47,63,-16,23.52941176470588,31.0,0.9117647058823529
Australia,Australia,124,61,28,35,228,138,90,49.193548387096776,211.0,1.7016129032258065
Austria,Austria,93,44,18,31,141,104,37,47.31182795698925,150.0,1.6129032258064515
Azerbaijan,Azerbaijan,94,22,29,43,86,141,-55,23.404255319148938,95.0,1.0106382978723405
Bahamas,Bahamas,12,6,2,4,27,21,6,50.0,20.0,1.6666666666666667
Bahrain,Bahrain,144,48,50,46,164,149,15,33.33333333333333,194.0,1.3472222222222223
Bangladesh,Bangladesh,63,17,15,31,56,113,-57,26.984126984126984,66.0,1.0476190476190477
Barawa,Barawa,12,3,0,9,16,46,-30,25.0,9.0,0.75
